2024-05-17 09:16:44,221 INFO [http-nio-8091-exec-1] m.d.p.audit [EntrepriseResource.java:87]    - Method called:  - Tentative de création de l'entreprise : ma.digital.prospace.service.dto.EntrepriseRequest2@2087a24b
2024-05-17 09:16:44,246 INFO [http-nio-8091-exec-1] m.d.p.audit [EntrepriseWSMJService.java:94] anonymousUser 0:0:0:0:0:0:0:1  - Method called: EntrepriseWSMJService.getBycodeJuridictionAndnumRC(..) - Attempting to call API URL: https://0474c1d3-c5c9-412a-bd2f-86e7f459ab4f.mock.pstmn.io/wsRcPpModel7/PersonnePhysique/ADD/1/1234567890
2024-05-17 09:16:45,316 INFO [http-nio-8091-exec-1] m.d.p.audit [EntrepriseWSMJService.java:113] anonymousUser 0:0:0:0:0:0:0:1  - Method called: EntrepriseWSMJService.getBycodeJuridictionAndnumRC(..) - Successfully parsed JSON for codeJuridiction: 1, numRC: 1234567890
2024-05-17 09:16:46,306 INFO [http-nio-8091-exec-1] m.d.p.audit [EntrepriseService.java:406] anonymousUser 0:0:0:0:0:0:0:1  - Method called: TribunalWSMJService.getListeTribunaux() - Déjà créé par
2024-05-17 09:16:46,357 INFO [http-nio-8091-exec-1] m.d.p.audit [EntrepriseService.java:509] anonymousUser 0:0:0:0:0:0:0:1  - Method called: TribunalWSMJService.getListeTribunaux() - Nouvelle entreprise créée avec succès par COMPTE01 pour le tribunal 1 et le numéro RC 1234567890
2024-05-17 09:16:46,358 INFO [http-nio-8091-exec-1] m.d.p.audit [EntrepriseService.java:510] anonymousUser 0:0:0:0:0:0:0:1  - Method called: TribunalWSMJService.getListeTribunaux() - Successfully created company with NumRC: 1234567890
2024-05-17 09:16:46,472 INFO [http-nio-8091-exec-1] m.d.p.audit [EntrepriseResource.java:93] anonymousUser 0:0:0:0:0:0:0:1  - Method called: TribunalWSMJService.getListeTribunaux() - Entreprise créée avec succès avec le NumRC : 1234567890
2024-05-17 09:17:05,564 INFO [http-nio-8091-exec-9] m.d.p.audit [EntrepriseResource.java:87]    - Method called:  - Tentative de création de l'entreprise : ma.digital.prospace.service.dto.EntrepriseRequest2@31c14266
2024-05-17 09:17:05,565 INFO [http-nio-8091-exec-9] m.d.p.audit [EntrepriseWSMJService.java:94] anonymousUser 0:0:0:0:0:0:0:1  - Method called: EntrepriseWSMJService.getBycodeJuridictionAndnumRC(..) - Attempting to call API URL: https://0474c1d3-c5c9-412a-bd2f-86e7f459ab4f.mock.pstmn.io/wsRcPpModel7/PersonnePhysique/ADD/1/1234567890
2024-05-17 09:17:06,071 INFO [http-nio-8091-exec-9] m.d.p.audit [EntrepriseWSMJService.java:113] anonymousUser 0:0:0:0:0:0:0:1  - Method called: EntrepriseWSMJService.getBycodeJuridictionAndnumRC(..) - Successfully parsed JSON for codeJuridiction: 1, numRC: 1234567890
2024-05-17 09:17:06,595 INFO [http-nio-8091-exec-9] m.d.p.audit [EntrepriseService.java:406] anonymousUser 0:0:0:0:0:0:0:1  - Method called: TribunalWSMJService.getListeTribunaux() - Déjà créé par
2024-05-17 09:17:06,600 INFO [http-nio-8091-exec-9] m.d.p.audit [EntrepriseService.java:509] anonymousUser 0:0:0:0:0:0:0:1  - Method called: TribunalWSMJService.getListeTribunaux() - Nouvelle entreprise créée avec succès par COMPTE01 pour le tribunal 1 et le numéro RC 1234567890
2024-05-17 09:17:06,600 INFO [http-nio-8091-exec-9] m.d.p.audit [EntrepriseService.java:510] anonymousUser 0:0:0:0:0:0:0:1  - Method called: TribunalWSMJService.getListeTribunaux() - Successfully created company with NumRC: 1234567890
2024-05-17 09:17:06,603 INFO [http-nio-8091-exec-9] m.d.p.audit [EntrepriseResource.java:93] anonymousUser 0:0:0:0:0:0:0:1  - Method called: TribunalWSMJService.getListeTribunaux() - Entreprise créée avec succès avec le NumRC : 1234567890
2024-05-17 09:17:22,554 INFO [http-nio-8091-exec-4] m.d.p.audit [EntrepriseResource.java:87] anonymousUser 0:0:0:0:0:0:0:1  - Method called: EntrepriseService.findAll(..) - Tentative de création de l'entreprise : ma.digital.prospace.service.dto.EntrepriseRequest2@59132dec
2024-05-17 09:17:22,555 INFO [http-nio-8091-exec-4] m.d.p.audit [EntrepriseWSMJService.java:94] anonymousUser 0:0:0:0:0:0:0:1  - Method called: EntrepriseWSMJService.getBycodeJuridictionAndnumRC(..) - Attempting to call API URL: https://0474c1d3-c5c9-412a-bd2f-86e7f459ab4f.mock.pstmn.io/wsRcPpModel7/PersonnePhysique/ADD/1/1234567890
2024-05-17 09:17:23,044 INFO [http-nio-8091-exec-4] m.d.p.audit [EntrepriseWSMJService.java:113] anonymousUser 0:0:0:0:0:0:0:1  - Method called: EntrepriseWSMJService.getBycodeJuridictionAndnumRC(..) - Successfully parsed JSON for codeJuridiction: 1, numRC: 1234567890
2024-05-17 09:17:23,529 INFO [http-nio-8091-exec-4] m.d.p.audit [EntrepriseService.java:406] anonymousUser 0:0:0:0:0:0:0:1  - Method called: TribunalWSMJService.getListeTribunaux() - Déjà créé par
